id,web_name,first_name,second_name,team,team_code,element_type,now_cost,cost_change_event,cost_change_start,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added,selected_by_percent,transfers_in_event,transfers_out_event,form,points_per_game,total_points,event_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,defensive_contribution,defensive_contribution_per_90,clearances_blocks_interceptions,recoveries,tackles,saves,saves_per_90,starts_per_90,penalties_order,corners_and_indirect_freekicks_order,direct_freekicks_order,ep_next,ep_this,dreamteam_count,value_form,value_season
11,Mosquera,Cristhian,Mosquera,1,3,2,53,0,-2,a,100,100,,2026-09-04T14:00:08.080310Z,1.6,1071,8708,1.5,6.0,12,0,168,2,0,0,2,0,0,52,0.00,0.01,0.01,0.53,0.0,0.01,0.01,0.28,10,5.36,10,3,0,0,0.0,1.07,,,,1.5,1.5,0,0.3,2.3
12,Saka,Bukayo,Saka,1,3,3,95,0,0,a,,,,,13.6,94718,42557,5.8,6.4,32,2,416,5,3,0,3,4,4,137,3.22,0.98,4.20,3.58,0.7,0.21,0.91,0.77,31,6.71,8,17,6,0,0.0,1.08,1,2,2,5.8,5.8,0,0.6,3.4
13,Rice,Declan,Rice,1,3,3,74,0,-1,d,75,,Unspecified injury - 75% chance of playing,2026-09-21T13:00:08.896379Z,11.7,7312,73735,4.2,4.0,20,1,411,5,0,2,3,4,0,91,0.12,0.69,0.81,3.50,0.03,0.15,0.18,0.77,42,9.2,18,17,7,0,0.0,1.09,,1,1,3.2,4.2,0,0.6,2.7
14,Eze,Eberechi,Eze,1,3,3,62,-1,-3,a,,,,,1.0,2015,6294,0.8,1.0,4,1,85,0,0,0,0,0,0,18,0.04,0.09,0.13,1.33,0.04,0.1,0.14,1.41,5,5.29,0,5,0,0,0.0,0.0,,,3,0.8,0.8,0,0.1,0.6
15,Ødegaard,Martin,Ødegaard,1,3,3,68,0,3,a,,,,,19.8,68673,81452,4.5,5.8,29,2,377,5,2,0,3,4,6,137,1.08,1.32,2.40,3.23,0.26,0.32,0.58,0.77,23,5.49,5,12,6,0,0.0,1.19,3,,4,4.5,4.5,1,0.7,4.3
16,Madueke,Noni,Madueke,1,3,3,62,0,-3,a,,,,,0.2,687,1465,0.2,1.0,2,0,23,0,0,0,0,0,0,11,0.00,0.05,0.05,0.15,0.0,0.2,0.2,0.59,3,11.74,0,2,1,0,0.0,0.0,,5,,0.2,0.2,0,0.0,0.3
17,Merino,Mikel,Merino Zazón,1,3,3,58,0,-2,a,,,,,0.4,649,2674,0.8,0.8,4,1,81,0,0,0,0,0,0,19,0.14,0.15,0.29,0.96,0.16,0.17,0.33,1.07,10,11.11,1,9,0,0,0.0,0.0,,,,0.8,0.8,0,0.1,0.7
18,Martinelli,Gabriel,Martinelli Silva,1,3,3,63,0,-2,u,0,0,Has joined Al Hilal permanently,2026-09-04T12:34:46.738449Z,0.1,0,501,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
19,Zubimendi,Martín,Zubimendi Ibáñez,1,3,3,53,0,-2,a,,,,,0.6,449,3470,1.0,1.0,5,1,89,0,0,0,0,0,0,16,0.21,0.04,0.25,1.38,0.21,0.04,0.25,1.4,12,12.13,5,3,4,0,0.0,0.0,,,,1.0,1.0,0,0.2,0.9
20,Dowman,Max,Dowman,1,3,3,53,0,-2,a,,,,,0.1,420,534,0.2,1.0,1,1,9,0,0,0,0,0,0,4,0.00,0.08,0.08,0.31,0.0,0.8,0.8,3.1,0,0.0,0,0,0,0,0.0,0.0,,,,0.2,0.2,0,0.0,0.2
21,Nørgaard,Christian,Nørgaard,9,11,3,49,0,-1,i,0,0,Groin injury - Unknown return date,2026-08-15T20:00:06.779594Z,0.0,40,276,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
22,Nwaneri,Ethan,Nwaneri,1,3,3,54,0,-1,u,0,0,Has joined Borussia Dortmund on loan for the rest of the season,2026-09-02T16:01:07.058827Z,0.0,0,48,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
23,Fábio Vieira,Fábio,Ferreira Vieira,1,3,3,55,0,0,u,0,0,Has joined Hamburger SV permanently,2026-09-02T16:00:28.446370Z,0.0,0,35,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
24,Nelson,Reiss,Nelson,1,3,3,55,0,0,u,0,0,has departed the club as a free agent.,2026-08-29T00:33:08.556767Z,0.0,0,18,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
25,Gyökeres,Viktor,Gyökeres,1,3,4,71,-1,-4,a,,,,,3.1,7034,15348,0.5,1.0,2,1,29,0,0,0,0,0,0,7,0.00,0.23,0.23,0.65,0.0,0.71,0.71,2.02,1,3.1,0,1,0,0,0.0,0.0,2,,,0.5,0.5,0,0.1,0.3
26,Havertz,Kai,Havertz,1,3,4,76,0,1,d,75,,Hamstring injury - 75% chance of playing,2026-09-24T22:00:09.120308Z,8.4,49785,50154,3.2,3.8,19,2,437,5,2,0,3,4,2,82,1.67,0.37,2.04,3.91,0.34,0.08,0.42,0.81,13,2.68,6,7,0,0,0.0,1.03,,,,2.4,3.2,0,0.4,2.5
27,G.Jesus,Gabriel,Fernando de Jesus,1,3,4,59,0,-1,u,0,0,Has joined FC Barcelona permanently,2026-09-02T16:00:28.475184Z,0.1,0,904,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
28,Martinez,Emiliano,Martínez Romero,6,8,1,50,0,0,a,,,,,4.8,6719,20397,2.2,2.2,9,2,360,4,0,0,0,10,0,61,0.00,0.01,0.01,7.49,0.0,0.0,0.0,1.87,0,0.0,1,37,0,18,4.5,1.0,,,,2.2,2.2,0,0.4,1.8
29,M.Bizot,Marco,Bizot,2,7,1,45,0,0,i,0,0,Back injury - Expected back 10 Oct,2026-09-17T07:30:09.058151Z,0.1,54,924,0.0,1.0,1,0,90,1,0,0,0,4,0,1,0.00,0.00,0.00,3.77,0.0,0.0,0.0,3.77,0,0.0,2,6,0,3,3.0,1.0,,,,0.0,0.0,0,0.0,0.2
30,Digne,Lucas,Digne,2,7,2,45,0,0,u,0,0,Has joined Paris Saint-Germain permanently,2026-08-10T14:03:30.089007Z,0.0,0,199,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
31,Konsa,Ezri,Konsa Ngoyo,1,3,2,46,1,1,a,,,,,19.4,83919,40951,3.0,3.0,12,1,281,3,0,0,1,4,0,36,0.23,0.02,0.25,3.50,0.07,0.01,0.08,1.12,23,7.37,18,9,5,0,0.0,0.96,,,,3.0,3.0,0,0.7,2.6
32,Cash,Matty,Cash,2,7,2,44,0,-1,a,100,100,,2026-09-09T14:30:08.192142Z,4.8,2429,23401,1.8,1.5,6,-1,296,3,0,0,1,7,0,16,0.15,0.04,0.19,5.95,0.05,0.01,0.06,1.81,17,5.17,11,2,6,0,0.0,0.91,,1,,1.8,1.8,0,0.4,1.4
33,Mings,Tyrone,Mings,2,7,2,45,0,0,a,,,,,0.4,1501,1259,2.2,2.5,10,3,261,2,0,0,1,4,0,43,0.20,0.02,0.22,4.43,0.07,0.01,0.08,1.53,24,8.28,20,7,4,0,0.0,0.69,,,,2.2,2.2,0,0.5,2.2
34,Pau,Pau,Torres,2,7,2,45,0,0,i,0,0,Hamstring injury - Expected back 10 Oct,2026-09-12T18:00:08.712707Z,0.3,40,2911,0.8,1.0,3,0,187,3,0,0,0,5,0,-4,0.00,0.01,0.01,4.79,0.0,0.0,0.0,2.31,9,4.33,8,9,1,0,0.0,1.44,,,,0.0,0.0,0,0.2,0.7
35,Bogarde,Lamare,Bogarde,2,7,3,49,-1,-1,a,,,,,0.1,156,414,0.0,1.0,1,0,16,0,0,0,0,0,0,3,0.00,0.00,0.00,0.22,0.0,0.0,0.0,1.24,1,5.62,1,0,0,0,0.0,0.0,,,,0.0,0.0,0,0.0,0.2
36,Maatsen,Ian,Maatsen,2,7,2,44,-1,-1,i,0,0,Ankle injury - Unknown return date,2026-09-12T18:00:08.729468Z,0.5,48,5722,2.2,2.2,9,0,335,4,0,0,1,7,1,22,0.28,0.45,0.73,6.54,0.08,0.12,0.2,1.76,24,6.45,17,10,7,0,0.0,1.07,,,,0.0,0.0,0,0.5,2.0
37,Lindelöf,Victor,Lindelöf,2,7,2,45,0,0,a,,,,,0.3,907,1162,2.5,1.6,8,1,450,5,0,0,1,9,0,28,0.44,0.17,0.61,9.22,0.09,0.03,0.12,1.84,22,4.4,21,7,1,0,0.0,1.0,,,,2.5,2.5,0,0.6,1.8
38,A.García,Andrés,García,2,7,2,40,0,0,a,,,,,1.5,1685,5577,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
39,Nedeljkovic,Kosta,Nedeljkovic,2,7,2,40,0,0,u,0,0,Has joined Rangers on loan for the rest of the season,2026-08-19T13:56:46.385411Z,0.1,0,497,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
40,Rogers,Morgan,Rogers,6,8,3,77,0,2,a,,,,,40.4,131811,64608,5.2,5.8,29,2,437,5,3,1,0,12,2,135,1.72,1.23,2.95,8.73,0.35,0.25,0.6,1.8,31,6.38,3,23,5,0,0.0,1.03,,3,,5.2,5.2,0,0.7,3.8
41,Buendía,Emiliano,Buendía Stati,2,7,3,59,0,-1,a,,,,,1.0,10971,3648,4.8,4.2,21,12,401,5,1,0,1,8,3,73,0.92,0.24,1.16,7.86,0.21,0.05,0.26,1.76,34,7.63,5,20,9,0,0.0,1.12,1,3,1,4.8,4.8,1,0.8,3.6
42,Guessand,Evann,Guessand,8,31,3,54,0,-1,a,,,,,0.0,96,242,0.2,1.0,2,0,54,0,0,0,0,1,0,6,0.03,0.03,0.06,0.34,0.05,0.05,0.1,0.57,2,3.33,1,0,1,0,0.0,0.0,,,,0.2,0.2,0,0.0,0.4
43,Tielemans,Youri,Tielemans,16,1,3,58,0,-2,a,100,100,,2026-07-23T12:01:23.321726Z,1.5,2752,9923,3.0,2.8,14,4,402,5,0,0,0,8,0,93,0.65,0.52,1.17,6.16,0.15,0.12,0.27,1.38,43,9.63,11,25,7,0,0.0,1.12,3,,,3.0,3.0,0,0.5,2.4
44,Bailey,Leon,Bailey,2,7,3,54,0,-1,u,0,0,Has joined Olympiakos permanently,2026-09-04T12:35:14.472260Z,0.1,0,437,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
45,McGinn,John,McGinn,2,7,3,54,0,-1,a,,,,,2.2,6185,7694,4.0,3.4,17,6,434,5,0,2,2,7,1,65,0.77,0.24,1.01,8.29,0.16,0.05,0.21,1.72,30,6.22,8,17,5,0,0.0,1.04,,2,,4.0,4.0,0,0.7,3.1
46,Barkley,Ross,Barkley,2,7,3,50,0,0,a,,,,,0.3,516,1652,2.0,2.0,10,1,308,4,0,0,1,8,0,66,0.38,0.14,0.52,7.36,0.11,0.04,0.15,2.15,28,8.18,5,16,7,0,0.0,1.17,,4,,2.0,2.0,0,0.4,2.0
47,Kamara,Boubacar,Kamara,2,7,3,50,0,0,a,100,100,,2026-07-23T12:01:23.337269Z,0.3,1172,1434,3.2,3.0,15,6,443,5,0,1,2,7,0,85,0.12,0.16,0.28,8.44,0.02,0.03,0.05,1.71,36,7.31,11,16,9,0,0.0,1.02,,,,3.2,3.2,0,0.6,3.0
48,Onana,Amadou,Onana,2,7,3,49,0,-1,i,0,0,Knee injury - Unknown return date,2026-07-23T12:01:23.352497Z,0.0,36,88,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
49,Iling Jr,Samuel,Iling-Junior,2,7,3,50,0,0,u,0,0,Has joined Bolton Wanderers on loan for the rest of the season,2026-08-17T13:52:28.532616Z,0.0,0,10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
50,Burrowes,Bradley,Burrowes,2,7,3,45,0,0,a,,,,,0.6,583,3130,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
51,George Hemmings,George,Hemmings,2,7,3,45,0,0,a,,,,,1.2,2955,8986,1.8,1.8,9,1,297,4,0,0,1,7,0,34,0.07,0.16,0.23,6.26,0.02,0.05,0.07,1.9,19,5.76,3,10,6,0,0.0,1.21,,,,1.8,1.8,0,0.4,2.0
52,Alysson,Alysson Edward Franco,da Rocha dos Santos,2,7,3,50,0,0,d,75,,Unspecified injury - 75% chance of playing,2026-09-19T11:30:09.355376Z,0.0,64,722,1.8,2.0,8,0,87,0,1,0,0,2,0,34,0.06,0.00,0.06,2.40,0.06,0.0,0.06,2.48,8,8.28,2,4,2,0,0.0,0.0,,,,1.4,1.8,0,0.4,1.6
53,Manzambi,Johan,Manzambi,2,7,3,59,0,-1,a,100,100,,2026-08-15T15:30:06.388335Z,0.4,26295,2724,3.5,7.0,14,13,98,1,1,1,1,1,2,48,0.44,0.24,0.68,1.54,0.4,0.22,0.62,1.41,9,8.27,2,5,2,0,0.0,0.92,,,,3.5,3.5,1,0.6,2.4
54,Gomes,Joao,Gomes,2,7,3,55,0,0,a,100,100,,2026-09-16T19:30:08.742410Z,0.0,408,171,1.0,1.0,2,4,129,2,0,0,0,6,0,11,0.00,0.03,0.03,4.14,0.0,0.02,0.02,2.89,20,13.95,6,5,9,0,0.0,1.4,,,,1.0,1.0,0,0.2,0.4
55,Watkins,Ollie,Watkins,2,7,4,78,0,-2,u,0,0,Has joined Al Hilal permanently,2026-09-01T13:15:16.698799Z,2.5,0,11223,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
56,Abraham,Tammy,Abraham,2,7,4,55,0,0,a,100,100,,2026-08-15T16:00:07.558543Z,0.2,1479,1588,1.0,1.0,4,1,71,0,0,0,0,3,0,13,0.00,0.00,0.00,2.69,0.0,0.0,0.0,3.41,2,2.54,0,1,1,0,0.0,0.0,,,,1.0,1.0,0,0.2,0.7
57,Petrović,Đorđe,Petrović,3,91,1,45,0,0,a,,,,,3.0,5457,10635,1.8,1.8,9,2,450,5,0,0,0,8,0,45,0.00,0.00,0.00,6.95,0.0,0.0,0.0,1.39,0,0.0,6,43,0,11,2.2,1.0,,,,1.8,1.8,0,0.4,2.0
58,Forster,Fraser,Forster,3,91,1,40,0,0,a,,,,,3.5,7505,6624,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
59,Dennis,Will,Dennis,3,91,1,40,0,0,u,0,0,Has joined MK Dons permanently,2026-08-27T14:53:48.692835Z,0.1,0,507,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
60,Hill,James,Hill,3,91,2,55,0,0,a,,,,,0.8,2831,2817,2.8,2.4,12,4,450,5,0,0,0,8,0,43,0.00,0.79,0.79,6.95,0.0,0.16,0.16,1.39,50,10.0,41,11,9,0,0.0,1.0,,,,2.8,2.8,0,0.5,2.2
61,Truffert,Adrien,Truffert,3,91,2,54,-1,-1,a,,,,,3.0,4080,11180,2.2,2.0,10,2,450,5,0,0,0,8,2,53,0.11,0.29,0.40,6.95,0.02,0.06,0.08,1.39,45,9.0,28,24,17,0,0.0,1.0,,,,2.2,2.2,0,0.4,1.9
62,Diakité,Bafodé,Diakité,3,91,2,49,-1,-1,a,,,,,0.2,431,881,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
63,Milosavljević,Veljko,Milosavljevic,3,91,2,49,0,-1,i,0,0,Thigh injury - Unknown return date,2026-08-06T10:00:10.456051Z,0.0,23,38,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
64,Smith,Adam,Smith,3,91,2,45,0,0,a,,,,,0.1,366,438,0.8,0.8,4,2,434,5,0,0,0,8,0,14,0.01,0.09,0.10,6.70,0.0,0.02,0.02,1.39,21,4.35,16,15,5,0,0.0,1.04,,,,0.8,0.8,0,0.2,0.9
65,J.Araujo,Julián,Araujo Zúñiga,3,91,2,44,0,-1,i,0,0,Thigh injury - Unknown return date,2026-08-09T08:00:05.645826Z,0.0,32,42,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
66,Soler,Julio,Soler Barreto,3,91,2,40,0,0,a,100,100,,2026-08-15T16:30:07.021055Z,0.3,680,1032,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
67,Rayan,Rayan Vitor,Simplício Rocha,3,91,3,63,-1,-2,a,,,,,1.6,3555,9102,2.0,2.0,10,2,434,5,0,0,0,7,0,45,0.87,0.43,1.30,6.35,0.18,0.09,0.27,1.32,15,3.11,6,4,5,0,0.0,1.04,,,,2.0,2.0,0,0.3,1.6
68,Tavernier,Marcus,Tavernier,3,91,3,61,0,1,a,,,,,6.7,75041,39303,5.2,6.2,31,2,424,5,3,0,0,8,8,153,1.70,0.92,2.62,6.54,0.36,0.2,0.56,1.39,42,8.92,5,26,11,0,0.0,1.06,3,1,1,5.2,5.2,1,0.9,5.1
69,Scott,Alex,Scott,3,91,3,61,0,1,a,,,,,5.7,21146,35702,7.0,6.0,30,2,446,5,1,2,1,7,5,129,0.64,0.42,1.06,6.82,0.13,0.08,0.21,1.38,60,12.11,15,36,9,0,0.0,1.01,,2,4,7.0,7.0,1,1.1,4.9
70,Kluivert,Justin,Kluivert,3,91,3,60,0,0,i,0,,Unspecified injury - Unknown return date,2026-09-20T15:30:09.074071Z,0.9,2283,16473,3.0,3.8,15,0,294,4,1,0,2,3,1,64,0.99,0.08,1.07,4.48,0.3,0.02,0.32,1.37,22,6.73,2,16,4,0,0.0,1.22,2,3,2,0.0,3.0,0,0.5,2.5
71,Cook,Lewis,Cook,3,91,3,50,0,0,a,,,,,0.2,246,1070,1.2,1.6,8,1,180,2,0,0,2,1,0,25,0.00,0.01,0.01,4.20,0.0,0.0,0.0,2.1,14,7.0,7,6,1,0,0.0,1.0,,,,1.2,1.2,0,0.2,1.6
72,Gannon-Doak,Ben,Gannon-Doak,3,91,3,49,0,-1,a,,,,,0.1,128,344,0.8,1.0,4,1,12,0,0,0,0,1,0,15,0.12,0.05,0.17,0.60,0.9,0.38,1.28,4.5,7,52.5,0,5,2,0,0.0,0.0,,,,0.8,0.8,0,0.2,0.8
73,Adams,Tyler,Adams,3,91,3,50,0,0,a,100,100,,2026-08-15T16:30:07.029928Z,0.3,987,1511,2.8,2.4,12,4,279,3,0,0,0,7,0,52,0.03,0.07,0.10,2.74,0.01,0.02,0.03,0.88,41,13.23,12,22,7,0,0.0,0.97,,,,2.8,2.8,0,0.6,2.4
74,Brooks,David,Brooks,3,91,3,50,0,0,a,100,100,,2026-08-15T16:30:07.037929Z,0.1,160,305,0.8,0.8,3,1,45,0,0,0,0,2,0,8,0.00,0.07,0.07,0.75,0.0,0.14,0.14,1.5,5,10.0,2,3,0,0,0.0,0.0,,4,3,0.8,0.8,0,0.2,0.6
75,Christie,Ryan,Christie,3,91,3,50,0,0,a,100,100,,2026-07-24T17:30:10.035483Z,0.0,268,225,1.2,1.2,5,2,102,1,0,0,0,2,0,15,0.50,0.13,0.63,1.64,0.44,0.11,0.55,1.45,14,12.35,3,10,1,0,0.0,0.88,,,,1.2,1.2,0,0.2,1.0
76,Tóth.A,Alex,Tóth,3,91,3,49,0,-1,a,,,,,0.0,25,53,0.2,1.0,2,1,17,0,0,0,0,2,0,8,0.00,0.00,0.00,0.56,0.0,0.0,0.0,2.96,2,10.59,0,1,1,0,0.0,0.0,,,,0.2,0.2,0,0.0,0.4
77,Adli,Amine,Adli,3,91,3,49,0,-1,i,0,0,Calf injury - Unknown return date,2026-08-15T16:00:07.590566Z,0.0,22,69,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
78,Kroupi.Jr,Junior,Kroupi,3,91,3,74,0,-1,i,0,0,Foot injury - Expected back 7 Nov,2026-07-29T17:30:09.796802Z,0.2,162,748,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0.0,0.0,0,0.0,0.0
79,Evanilson,Francisco Evanilson,de Lima Barbosa,3,91,4,60,0,0,a,,,,,3.2,15343,19398,3.5,3.6,18,2,424,5,0,3,2,5,0,66,0.87,0.52,1.39,6.45,0.18,0.11,0.29,1.37,27,5.73,11,13,3,0,0.0,1.06,,,,3.5,3.5,0,0.6,3.0
80,Enes Ünal,Enes,Ünal,3,91,4,55,0,0,u,0,0,Has joined Getafe permanently,2026-08-14T14:14:21.881112Z,0.0,0,48,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
81,Rodríguez,Álvaro,Rodríguez,3,91,4,60,0,0,a,100,100,,2026-08-15T16:30:07.054142Z,0.1,659,654,0.5,1.0,2,0,10,0,0,0,0,1,0,7,0.00,0.00,0.00,0.18,0.0,0.0,0.0,1.62,1,9.0,0,1,0,0,0.0,0.0,,,,0.5,0.5,0,0.1,0.3
82,Kelleher,Caoimhín,Kelleher,4,94,1,50,0,0,a,,,,,6.1,18288,12075,3.2,4.0,20,6,450,5,0,0,2,4,0,97,0.00,0.01,0.01,6.32,0.0,0.0,0.0,1.26,0,0.0,7,34,0,17,3.4,1.0,,,,3.2,3.2,0,0.6,4.0
83,Valdimarsson,Hákon Rafn,Valdimarsson,4,94,1,45,0,0,a,,,,,0.1,265,301,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
